;count;unique;top;freq
thumbnail;8781;8680;https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/f6/4e/d8/1266432245.webp;10
externalReference;7595;7096;GC01917;15
floor;7563;30;1;1718
propertyType;8918;6;flat;7195
operation;8918;1;sale;8918
exterior;7200;2;True;6481
address;8918;2694;subdistrict La Dreta de l'Eixample;78
province;8918;1;Barcelona;8918
municipality;8918;8;Barcelona;5737
district;8918;51;Sant Martí;719
country;8918;1;es;8918
neighborhood;7224;95;El Poble Sec - Parc de Montjuïc;352
locationId;8918;130;0-EU-ES-08-13-001-019-03-007;352
url;8918;8918;https://www.idealista.com/inmueble/105093241/;1
description;8787;7747;Investment opportunity: property without possession. Impossibility of visiting the interior, the purchase of this property cannot be financed. We warn that the information contained may not be updated, request more information about the asset without obligation.;231
status;8894;3;good;7014
hasLift;8171;2;True;5239
dropDate;1039;1038;2024-09-17 19:33:14;2
commercialName;5614;1202;solvia inmobiliaria;281
contactName;5914;1432;departamento comercial;287
userType;5914;2;professional;5614
micrositeShortName;5614;1215;sa-roqueta-investments;274
typology;5914;3;flat;5502
subTypology;977;8;penthouse;325
subtitle;3832;65;Vila de Gràcia, Barcelona;248
title;5914;2105;Flat;941
hasParkingSpace;780;1;True;780
isParkingSpaceIncludedInPrice;780;2;True;655
hasSwimmingPool;5377;2;False;4935
hasTerrace;4640;2;False;2967
hasAirConditioning;5633;2;False;3669
hasBoxRoom;5288;2;False;4617
hasGarden;4752;2;False;4223
size_category;8918;6;Very Small;1578
